Ano,Mês,UF,IMPOSTO SOBRE IMPORTAÇÃO,IMPOSTO SOBRE EXPORTAÇÃO,IPI - FUMO,IPI - BEBIDAS,IPI - AUTOMÓVEIS,IPI - VINCULADO À IMPORTACAO,IPI - OUTROS,IRPF,IRPJ - ENTIDADES FINANCEIRAS,IRPJ - DEMAIS EMPRESAS,IRRF - RENDIMENTOS DO TRABALHO,IRRF - RENDIMENTOS DO CAPITAL,IRRF - REMESSAS P/ EXTERIOR,IRRF - OUTROS RENDIMENTOS,IMPOSTO S/ OPERAÇÕES FINANCEIRAS,IMPOSTO TERRITORIAL RURAL,CPMF,COFINS
2000,Junho,PA,1605676,44,2443686,1098428,0,833244,1135106,3448288,1540636,4058310,11821771,851912,223135,1178254,302212,558290,2794593,17731840
2000,Junho,PB,1627674,0,1779904,8855424,0,603811,1948116,2258766,156503,2838356,9254924,129589,99171,268181,164532,58252,210075,11074955
2000,Junho,PR,67144952,15,8540321,4715869,27492476,41585514,33428272,17303134,13172574,40208831,41226624,34600027,5191234,4126332,9200865,1614948,70697642,143574259
2000,Junho,PE,7436127,632,5714439,5720717,0,3462578,10845081,6986052,140065,16023692,27642868,1503297,389381,7610680,760677,355477,2711775,48703575
2000,Junho,PI,240532,0,750077,1786313,0,118989,308714,1589387,14945,3763164,4002188,106991,702,135462,48162,207225,166970,6618692
2000,Junho,RJ,50806105,156,23377667,18960625,939457,26838254,55891077,60192387,15906283,248884272,244996640,129931581,56713784,455048508,12479214,305815,23644375,723394582
2000,Junho,RN,784896,0,1705551,348784,0,256497,509993,1924581,1517,7165647,9349240,201854,53884,387389,9089,43889,75406,11947652
2000,Junho,RS,27524502,4951,20278777,9880125,3372,17440349,60027920,27007376,4231000,48476096,64353221,13916970,4620017,10695073,5505264,1590246,27788637,219283535
2000,Junho,RO,30983,0,654131,0,3685,15836,64729,919858,0,941839,5692063,146844,12430,110390,6418,1653849,82743,5477551
2000,Junho,RR,563,0,246122,0,0,0,5433,387018,968,366799,1342998,14553,0,32052,388,34926,5440,1358805
2000,Junho,SC,16010501,74,4917286,3431342,123815,11268557,20203722,7147132,101123,17921700,23236222,4697872,2615570,2600496,1844334,222994,6723770,88816489
2000,Junho,SP,385924731,8445,54965881,52478999,130209115,222018558,365974965,136331371,74119009,336211258,506716541,404963420,145709803,112781372,246757219,2375764,717569690,1341835042
2000,Junho,SE,792597,0,875836,4146077,0,455190,1180269,1897906,0,1689113,4130131,384592,57616,142393,287376,55799,944794,9066964
2000,Junho,TO,703,0,380266,58883,0,6811,88466,369483,0,436434,893902,24995,0,83099,1257,495294,9574,2981997
